"query","search interest","increase percent"
"27001 iso 2022",39,"Breakout"
"iso 27001 2022",38,"Breakout"
"iso 27001 2022 pdf",7,"Breakout"
"27001 iso 2022 pdf",7,"Breakout"
"iso 27701",6,"Breakout"
"cobit 2019",3,"Breakout"
"iso 27001 lead auditor certification",3,"Breakout"
"hipaa",2,"Breakout"
"iso 27001 gap analysis",1,"Breakout"
"27001 iso 2013 vs 2022",1,"Breakout"
"malware adalah",1,"Breakout"
"iso 27001 certification in iraq",1,"Breakout"
"iso 55001",1,"Breakout"
"iso 27001 update 2022",1,"Breakout"
"iso 27001 policy templates",1,"Breakout"
"iso 27001 tentang apa",15,"700%"
"what is iso 27001",11,"250%"
"iso 37001",9,"180%"
"iso 27001 logo",6,"150%"
"apa itu iso",17,"140%"
"soa",5,"90%"
"bssn",4,"90%"
"iso 50001",1,"70%"
"annex a iso 27001",7,"70%"
"iso 45001",9,"60%"
"iso 22301",3,"60%"
"iso 27001 compliance",9,"60%"
"soa iso 27001",5,"60%"
"iso 9001 adalah",9,"50%"
"iso 31000",5,"40%"
"smki",10,"40%"
"iso/iec 27001",9,"40%"
"iso 27001 framework",9,"30%"
"iso 27001 requirements",5,"20%"
"iso 27001 clauses",2,"20%"
"nist",8,"20%"
"iso 9001",25,"10%"
"pci dss",4,"9%"
"isms",11,"7%"
"iso 14001",9,"7%"
"iso adalah",100,"6%"
"iso 27001 adalah",99,"5%"
"iso 27001 lead auditor",9,"4%"
"iso 27001 consulting",2,"4%"
"iso 270001",4,"4%"
"iso iec 27001",8,"2%"
"iso 20000",5,"1%"
"iso 27001 foundation",2,"-3%"
"isms iso 27001",10,"-3%"
"itil",4,"-5%"